Brand,BrandAlias,BrandAccuracy,Product,ProductAlias,ProductAccuracy,Model,ModelAlias,ModelAccuracy
Apex,,50,Others,,0,,,
Apple,,50,Others,,0,,,
AT&T,,75,Others,,0,,,
Creative,,75,Others,,0,,,
DELL,,50,Others,,0,,,
eMachines,,75,Others,,0,,,
Epson,,75,Others,,0,,,
Hoover,,75,Others,,0,,,
HP,"Hewlett-Packard,Hewlett Packard",50,Others,,0,,,
Lenovo,,75,Others,,0,,,
Lexmark,,75,Others,,0,,,
LG,,50,Others,,0,,,
Logitech,,75,Others,,0,,,
Nokia,,75,Others,,0,,,
Samsung,,75,Others,,0,,,
